No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
1289	notitiam	1035	3.754	5	5
1290	solidos	690	2.503	5	5
1291	statim	2835	10.282	5	5
1292	ostendimus	297	1.077	5	4
1293	historiis	118	0.428	5	4
1294	Christo	11863	43.025	5	5
1295	conscripta	248	0.9	5	5
1296	intelligere	2159	7.83	5	5
1297	continentem	137	0.497	5	5
1298	debeat	2020	7.326	5	4
1299	Iustitia	3349	12.146	5	5
1300	episcopo	4956	17.975	5	5
1301	Actibus	1696	6.151	5	5
1302	aliquid	7044	25.548	5	5
1303	antea	1450	5.259	5	5
1304	femina	814	2.952	5	5
1305	Arium	94	0.341	5	5
1306	audi	1151	4.175	5	5
1307	bibliotheca	214	0.776	5	4
1308	Heresibus	92	0.334	5	5
1309	ualde	2980	10.808	5	5
1310	Xxui	385	1.396	5	4
1311	quisque	2318	8.407	5	5
1312	ratione	3174	11.512	5	5
1313	rite	1044	3.786	5	4
1314	mei	5165	18.733	5	4
1315	Nahum	37	0.134	5	3
1316	sententia	3288	11.925	5	4
