No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	MI3 value
471	corpus	25509	92.517	34	24	8.731
472	decem	3204	11.62	17	17	8.724
473	debeo	23501	85.235	33	25	8.72
474	assero1	2209	8.012	15	15	8.719
475	propter	17688	64.152	30	23	8.717
476	apertus	1441	5.226	13	11	8.716
477	amen	3393	12.306	17	17	8.641
478	miracula	1918	6.956	14	9	8.624
479	29	358	1.298	8	7	8.623
480	proprius1	13802	50.058	27	24	8.619
481	centum	1544	5.6	13	11	8.616
482	nunc	13926	50.508	27	22	8.606
483	sufficienter	369	1.338	8	8	8.58
484	responsio	969	3.514	11	4	8.565
485	terminus	2478	8.987	15	11	8.553
486	an	4310	15.632	18	12	8.543
487	ne2	26592	96.445	33	28	8.542
488	scilicet	11586	42.021	25	21	8.539
489	plerique	748	2.713	10	9	8.526
490	peritus	383	1.389	8	8	8.526
491	diuisio	1294	4.693	12	7	8.524
492	nouem	997	3.616	11	9	8.524
493	nomino	3089	11.203	16	15	8.514
494	tum	16556	60.046	28	23	8.514
495	anima	20451	74.173	30	24	8.508
496	quot	1014	3.678	11	11	8.5
497	uocatus	768	2.785	10	7	8.488
498	affero	2110	7.653	14	8	8.486
499	supradictus	1329	4.82	12	11	8.486
500	folium	564	2.046	9	8	8.477
501	comprehendo	2619	9.499	15	14	8.473
502	laudo	4595	16.665	18	16	8.451
503	aris	100	0.363	5	5	8.429
504	plaga1	1777	6.445	13	13	8.413
505	mysticus	2232	8.095	14	11	8.405
506	precipuus	2237	8.113	14	13	8.402
507	adnoto	420	1.523	8	8	8.393
508	manicheius	282	1.023	7	6	8.39
509	talis	14475	52.499	26	24	8.387
510	25	423	1.534	8	4	8.383
511	probo	4948	17.946	18	18	8.344
512	argentum	1871	6.786	13	9	8.339
513	uterque	7941	28.801	21	17	8.329
514	ars	2369	8.592	14	13	8.319
515	celestis	9264	33.599	22	16	8.308
516	christiana	300	1.088	7	5	8.3
517	noto	2965	10.754	15	14	8.294
518	septuaginta	1934	7.014	13	8	8.291
519	frequenter	1528	5.542	12	11	8.285
520	sancta	2441	8.853	14	12	8.276
521	sensus	7122	25.83	20	19	8.275
522	canticum	1965	7.127	13	10	8.268
523	termino	660	2.394	9	5	8.251
524	desum	2510	9.103	14	12	8.236
525	scottus	314	1.139	7	3	8.235
526	cur	3774	13.688	16	14	8.225
527	constitutio	1241	4.501	11	9	8.208
528	illuster	681	2.47	9	9	8.205
529	perhibeo	1634	5.926	12	8	8.188
530	egregius	1265	4.588	11	11	8.18
531	pre1	2138	7.754	13	7	8.146
532	iustus	15277	55.407	25	15	8.14
533	inde	7879	28.576	20	18	8.129
534	15	1323	4.798	11	8	8.116
535	canonica1	512	1.857	8	6	8.107
536	mors	17655	64.032	26	22	8.101
537	mendacium	1737	6.3	12	10	8.1
538	pontifex	6896	25.011	19	18	8.099
539	iubeo	9352	33.918	21	19	8.093
540	premitto	1752	6.354	12	12	8.087
541	textus	353	1.28	7	5	8.066
542	laus	6034	21.884	18	16	8.058
543	respondeo	7111	25.791	19	12	8.055
544	clemens	1039	3.768	10	9	8.052
545	hamus	357	1.295	7	5	8.049
546	hymnus	1043	3.783	10	8	8.046
547	oratio	8345	30.266	20	15	8.046
548	pene	2894	10.496	14	13	8.03
549	mysterium	5257	19.066	17	14	8.009
550	posterus	1849	6.706	12	9	8.009
551	psalterium	548	1.988	8	8	8.009
552	exhibeo	3621	13.133	15	11	8.006
553	uoco	13140	47.657	23	17	7.996
554	intus1	1906	6.913	12	8	7.966
555	laqueus	1113	4.037	10	10	7.953
556	octoginta	384	1.393	7	7	7.944
557	alter	10468	37.966	21	20	7.93
558	33	246	0.892	6	2	7.919
559	mille	3852	13.971	15	12	7.916
560	nemo	6740	24.445	18	12	7.898
561	concilium	4771	17.304	16	13	7.887
562	ante2	12432	45.089	22	16	7.884
563	iterum	6856	24.866	18	16	7.874
564	postea	4899	17.768	16	14	7.849
565	comburo	614	2.227	8	6	7.845
566	edissero	150	0.544	5	5	7.844
567	sacerdos	12795	46.406	22	21	7.842
568	bene	8253	29.932	19	15	7.84
569	assumo	4097	14.859	15	11	7.827
570	certe	3334	12.092	14	12	7.826
571	studium	4111	14.91	15	13	7.822
572	congrego	3349	12.146	14	14	7.82
573	pagina	1627	5.901	11	10	7.817
574	omitto	893	3.239	9	8	7.814
575	uenerabilis	4191	15.2	15	14	7.795
576	martyr	7254	26.309	18	17	7.792
577	defero	2734	9.916	13	10	7.792
578	exeo	4226	15.327	15	12	7.783
579	indo	275	0.997	6	5	7.759
580	regula1	4311	15.635	15	12	7.754
581	nisi	22453	81.434	26	24	7.754
582	quadraginta	1702	6.173	11	9	7.752
583	latinus	937	3.398	9	9	7.745
584	scientia	5333	19.342	16	15	7.726
585	ueritas	13939	50.555	22	16	7.719
586	uestimentum	2281	8.273	12	11	7.707
587	origo	1323	4.798	10	10	7.703
588	nusquam	679	2.463	8	7	7.7
589	tabernaculum	2916	10.576	13	6	7.699
590	editio	686	2.488	8	7	7.685
591	debitum	1358	4.925	10	6	7.666
592	examplum	6710	24.336	17	13	7.657
593	dextera	3030	10.989	13	6	7.643
594	theologia	298	1.081	6	3	7.643
595	inchoo	1018	3.692	9	8	7.625
596	pando1	479	1.737	7	6	7.625
597	meus	41617	150.939	31	22	7.625
598	studeo	3844	13.942	14	13	7.621
599	inquio	15058	54.613	22	17	7.607
600	scriptum	1427	5.176	10	10	7.594
601	legens	492	1.784	7	7	7.587
602	collatio	313	1.135	6	5	7.572
603	paganus	1472	5.339	10	9	7.549
604	quisque	7232	26.229	17	16	7.549
605	superius	3237	11.74	13	12	7.548
606	thesaurus	1965	7.127	11	8	7.545
607	reliquus	5021	18.21	15	12	7.534
608	sedecim	187	0.678	5	3	7.526
609	offero	7405	26.857	17	16	7.515
610	prenoto	189	0.686	5	5	7.511
611	elogium	190	0.689	5	5	7.503
612	dico1	14166	51.378	21	17	7.494
613	numero1	789	2.862	8	8	7.483
614	comprobo	1126	4.084	9	9	7.48
615	uelut2	5228	18.961	15	13	7.476
616	uirginitas	798	2.894	8	5	7.467
617	preter	2710	9.829	12	12	7.458
618	triginta	1575	5.712	10	10	7.452
619	recenseo	341	1.237	6	5	7.448
620	indico1	2105	7.635	11	11	7.446
621	recedo	3535	12.821	13	12	7.421
622	expando2	351	1.273	6	3	7.407
623	tronus	1193	4.327	9	9	7.396
624	consto	3616	13.115	13	13	7.388
625	dimitto	5627	20.408	15	13	7.37
626	concludo	1222	4.432	9	7	7.362
627	preterea	1228	4.454	9	8	7.355
628	quamuis	4631	16.796	14	11	7.352
629	scio	13520	49.035	20	19	7.35
630	peccatum	26411	95.789	25	23	7.35
631	multiplex	1235	4.479	9	9	7.347
632	dum	18066	65.523	22	19	7.344
633	templum	6987	25.341	16	9	7.337
634	incarnatio	2283	8.28	11	10	7.329
635	philosophus1	217	0.787	5	5	7.311
636	uas2	2311	8.382	11	10	7.311
637	abbas	7157	25.957	16	14	7.302
638	9	1756	6.369	10	10	7.295
639	18	904	3.279	8	7	7.287
640	hereticus2	3927	14.243	13	11	7.269
641	donum	4909	17.804	14	9	7.268
642	secularis1	2410	8.741	11	10	7.251
643	marca2	1320	4.787	9	8	7.251
644	ibi	10625	38.535	18	17	7.242
645	exsisto	6201	22.49	15	13	7.229
646	transfero	2451	8.889	11	10	7.226
647	latus1	1346	4.882	9	9	7.222
648	tracto	1848	6.702	10	6	7.221
649	desidero	3198	11.599	12	11	7.219
650	claudo	1350	4.896	9	8	7.218
651	narratio	638	2.314	7	7	7.212
652	flagito	402	1.458	6	5	7.211
653	cognosco	10858	39.38	18	16	7.21
654	nosco	9229	33.472	17	16	7.197
655	gens	13090	47.476	19	12	7.175
